query,claim_text,claimant,claim_date_raw,claim_language_code,review_publisher,review_site,review_title,review_url,review_date_raw,textual_rating,review_language_code,claim_date,review_date,rating_normalized,tag_text,narrative_tags_list,narrative_tags
ozempic,Pharmaceutical companies behind weight loss and diabetes medication such as Ozempic are facing a lawsuit that could potentially pay out more than $2 billion.,,,,Snopes,snopes.com,"Ozempic, other weight-loss drug makers face lawsuits. Here's what we know",https://www.snopes.com/fact-check/ozempic-2-billion-lawsuit/,2025-08-20T15:56:51Z,Mostly True,en,,8/20/2025,TRUE,"Pharmaceutical companies behind weight loss and diabetes medication such as Ozempic are facing a lawsuit that could potentially pay out more than $2 billion. Ozempic, other weight-loss drug makers face lawsuits. Here's what we know Mostly True",[],
ozempic,Australia’s therapeutic goods regulator has approved a new weight loss treatment.,Social media users,2025-08-19T10:00:00Z,,AAP,aap.com.au,Claims Ozempic-style weight loss liquid is TGA approved are light ...,https://www.aap.com.au/factcheck/claims-ozempic-style-weight-loss-liquid-is-tga-approved-are-light-on-truth/,2025-08-29T17:10:04Z,"False. No such medication has been approved or endorsed by the regulator, and a video purporting to show its effects has been manipulated using AI.",en,8/19/2025,8/29/2025,FALSE,"Australia’s therapeutic goods regulator has approved a new weight loss treatment. Claims Ozempic-style weight loss liquid is TGA approved are light ... False. No such medication has been approved or endorsed by the regulator, and a video purporting to show its effects has been manipulated using AI.","['fabricated_authority', 'fake_regulatory_approval']",fabricated_authority|fake_regulatory_approval
ozempic,study concluded that ozempic causes blindness,x.com,2025-02-12T02:21:08Z,,Lead Stories,leadstories.com,Fact Check: January 2025 Study Did NOT Conclude Ozempic Causes Blindness,https://leadstories.com/hoax-alert/2025/02/fact-check-january-2025-study-did-not-conclude-ozempic-caused-blindness.html,2025-02-12T02:21:08Z,Not Causation,en,2/12/2025,2/12/2025,other,study concluded that ozempic causes blindness Fact Check: January 2025 Study Did NOT Conclude Ozempic Causes Blindness Not Causation,['cancer_severe_harm'],cancer_severe_harm
ozempic,Denmark announced 500% tariff on Ozempic exports to US,Social media,2025-01-31T00:00:00Z,,USA Today,usatoday.com,"Denmark imposing '500% tariffs' on Ozempic exports to US? No, that's satire | Fact check",https://www.usatoday.com/story/news/factcheck/2025/02/05/denmark-tariffs-ozempic-exports-us-fact-check/78208289007/,2025-02-05T21:39:18Z,FALSE,en,1/31/2025,2/5/2025,FALSE,"Denmark announced 500% tariff on Ozempic exports to US Denmark imposing '500% tariffs' on Ozempic exports to US? No, that's satire | Fact check False",['fabricated_event'],fabricated_event
ozempic,"Denmark announced an export tariff on Ozempic to the US, discount for Canada, in response to Trump's Greenland threats",linkedin.com,2025-02-01T00:32:37Z,,Lead Stories,leadstories.com,Fact Check: Denmark Did NOT Announce 500% Export Tariff On ...,https://leadstories.com/hoax-alert/2025/01/fact-check-denmark-did-not-announce-500-percent-export-tariff-on-ozempic-to-us.html,2025-02-01T00:32:37Z,Didn't Happen,en,2/1/2025,2/1/2025,other,"Denmark announced an export tariff on Ozempic to the US, discount for Canada, in response to Trump's Greenland threats Fact Check: Denmark Did NOT Announce 500% Export Tariff On ... Didn't Happen",[],
ozempic,Oatzempic can replace Ozempic for weight loss,Several social media users,,,First Coast News,firstcoastnews.com,"No, Oatzempic cannot replace Ozempic for weight loss. Here's why | firstcoastnews.com",https://www.firstcoastnews.com/article/news/verify/no-oatzempic-cannot-replace-ozempic-for-weight-loss/77-fd0524a5-ce36-4334-911b-c5f2f897cfc3,2024-05-06T12:54:00Z,"No, 'Oatzempic' cannot replace Ozempic for weight loss.",en,,5/6/2024,other,"Oatzempic can replace Ozempic for weight loss No, Oatzempic cannot replace Ozempic for weight loss. Here's why | firstcoastnews.com No, 'Oatzempic' cannot replace Ozempic for weight loss.",['miracle_replacement'],miracle_replacement
ozempic,Ozempic could cause unplanned pregnancy,,,,WCNC,wcnc.com,Can taking Ozempic cause an unplanned pregnancy?,https://www.wcnc.com/article/news/verify/ozempic-birth-control-pregnancy-women-health/275-d95e888d-5586-4ada-aee8-b52716c3d5cd,2024-04-02T11:48:00Z,TRUE,en,,4/2/2024,TRUE,Ozempic could cause unplanned pregnancy Can taking Ozempic cause an unplanned pregnancy? True,['infertility_reproduction'],infertility_reproduction
ozempic,There is counterfeit Ozempic in the U.S.,,,,CBS 8,cbs8.com,Counterfeit Ozempic is in the US drug supply,https://www.cbs8.com/article/news/verify/medicine/ozempic-fake-counterfeit-diabetes-medication-drug-weight-loss-what-to-know/536-a31ac8c7-fb5b-4fde-a190-4f13e131c39e,2023-12-28T17:05:00Z,True. Fake Ozempic products are on the market in the U.S.,en,,12/28/2023,TRUE,There is counterfeit Ozempic in the U.S. Counterfeit Ozempic is in the US drug supply True. Fake Ozempic products are on the market in the U.S.,['counterfeit_compounded'],counterfeit_compounded
GLP-1,GLP-1 weight-loss treatments available on Facebook have been approved by the Therapeutic Goods Administration (TGA).,A Facebook user.,2025-09-08T10:00:00Z,,AAP,aap.com.au,Fake TGA approvals used to promote restricted weight-loss drugs,https://www.aap.com.au/factcheck/fake-tga-approvals-used-to-promote-restricted-weight-loss-drugs/,2025-10-15T15:40:05Z,"False. The products have not been approved by the TGA, while approved GLP-1 drugs are prescription-only.",en,9/8/2025,10/15/2025,FALSE,"GLP-1 weight-loss treatments available on Facebook have been approved by the Therapeutic Goods Administration (TGA). Fake TGA approvals used to promote restricted weight-loss drugs False. The products have not been approved by the TGA, while approved GLP-1 drugs are prescription-only.","['counterfeit_compounded', 'fake_regulatory_approval']",counterfeit_compounded|fake_regulatory_approval
GLP-1,A Melbourne doctor is giving weight-loss advice on Facebook.,A Facebook user.,2025-06-06T10:00:00Z,,AAP,aap.com.au,Melbourne doctor promoting unapproved drugs is an AI fake,https://www.aap.com.au/factcheck/melbourne-doctor-promoting-unapproved-drugs-is-an-ai-fake/,2025-10-03T09:30:08Z,False. The doctor doesn’t appear to exist and images on the page were created using AI.,en,6/6/2025,10/3/2025,FALSE,A Melbourne doctor is giving weight-loss advice on Facebook. Melbourne doctor promoting unapproved drugs is an AI fake False. The doctor doesn’t appear to exist and images on the page were created using AI.,"['counterfeit_compounded', 'fabricated_authority']",counterfeit_compounded|fabricated_authority
GLP-1,NZ's medical devices regulator has approved a weight loss patch.,Facebook page,2025-06-23T10:00:00Z,,AAP,aap.com.au,Claims about weight loss patch come unstuck,https://www.aap.com.au/factcheck/claims-about-weight-loss-patch-come-unstuck/,2025-07-14T16:10:04Z,False. Medsafe denies it has approved the patch and there is no evidence the company behind it is based in New Zealand.,en,6/23/2025,7/14/2025,FALSE,NZ's medical devices regulator has approved a weight loss patch. Claims about weight loss patch come unstuck False. Medsafe denies it has approved the patch and there is no evidence the company behind it is based in New Zealand.,[],
GLP-1,"GLP-1 drugs are ""the first front-line intervention"" to treat obesity ""for 6-year-old kids""",Robert F. Kennedy Jr.,2025-01-30T00:00:00Z,,FactCheck.org,factcheck.org,FactChecking RFK Jr.’s Other Health Claims During HHS Confirmation Hearings,https://www.factcheck.org/2025/02/factchecking-rfk-jr-s-other-health-claims-during-hhs-confirmation-hearings/,2025-02-06T00:00:00Z,FALSE,en,1/30/2025,2/6/2025,FALSE,"GLP-1 drugs are ""the first front-line intervention"" to treat obesity ""for 6-year-old kids"" FactChecking RFK Jr.’s Other Health Claims During HHS Confirmation Hearings False",[],
