query,claim_text,claimant,claim_date_raw,claim_language_code,review_publisher,review_site,review_title,review_url,review_date_raw,textual_rating,review_language_code,claim_date,review_date,rating_normalized,tag_text,narrative_tags_list,narrative_tags
weight loss supplement,'Shark Tank' judges backed a keto diet pill,Social media,2021-03-14T00:00:00Z,,USA Today,usatoday.com,Fact check: False claim that 'Shark Tank' judges endorsed keto diet pill,https://www.usatoday.com/story/news/factcheck/2021/10/11/fact-check-false-claim-shark-tank-judges-endorsed-keto-diet-pill/6035141001/,2021-10-11T19:19:30Z,False,en,2021-03-14,2021-10-11,false,'Shark Tank' judges backed a keto diet pill Fact check: False claim that 'Shark Tank' judges endorsed keto diet pill False,"['celebrity_endorsement', 'supplement_scam']",celebrity_endorsement|supplement_scam
weight loss supplement,Keto supplement endorsed by Health Canada and numerous celebrities,Warm tips 04,2024-05-27T00:00:00Z,,AFP Fact Check,factcheck.afp.com,Supplement ads use fabricated Canadian endorsements | Fact Check,https://factcheck.afp.com/doc.afp.com.34W743W,2024-06-11T20:28:00Z,False,en,2024-05-27,2024-06-11,false,Keto supplement endorsed by Health Canada and numerous celebrities Supplement ads use fabricated Canadian endorsements | Fact Check False,['supplement_scam'],supplement_scam
weight loss supplement,"In August 2025, social media posts and websites accurately reported Oprah Winfrey was endorsing a ""pink salt trick"" for weight loss.",,,,Snopes,snopes.com,Oprah promoting 'pink salt recipe' for weight loss? Don't fall for scam,https://www.snopes.com/fact-check/oprah-pink-salt-weight-loss/,2025-08-27T03:00:05Z,False,en,,2025-08-27,false,"In August 2025, social media posts and websites accurately reported Oprah Winfrey was endorsing a ""pink salt trick"" for weight loss. Oprah promoting 'pink salt recipe' for weight loss? Don't fall for scam False",[],
weight loss supplement,Oprah launched weight-loss gummy brand shown in Facebook video ads,Social media,2022-05-27T00:00:00Z,,USA Today,usatoday.com,Fact check: False claim that Oprah has endorsed diet pills,https://www.usatoday.com/story/news/factcheck/2022/05/31/fact-check-false-claim-oprah-has-endorsed-diet-pills/9768866002/,2022-06-01T00:16:19Z,False,en,2022-05-27,2022-06-01,false,Oprah launched weight-loss gummy brand shown in Facebook video ads Fact check: False claim that Oprah has endorsed diet pills False,['supplement_scam'],supplement_scam
weight loss pill,Pharmaceutical companies behind weight loss and diabetes medication such as Ozempic are facing a lawsuit that could potentially pay out more than $2 billion.,,,,Snopes,snopes.com,"Ozempic, other weight-loss drug makers face lawsuits. Here's what ...",https://www.snopes.com/fact-check/ozempic-2-billion-lawsuit/,2025-08-20T15:56:51Z,Mostly True,en,,2025-08-20,true,"Pharmaceutical companies behind weight loss and diabetes medication such as Ozempic are facing a lawsuit that could potentially pay out more than $2 billion. Ozempic, other weight-loss drug makers face lawsuits. Here's what ... Mostly True",[],
weight loss pill,There are safety concerns with buying knockoff weight-loss drugs.,,,,ABC10,abc10.com,"Are knockoff Ozempic, other weight-loss drugs safe?",https://www.abc10.com/article/news/verify/health-verify/knockoff-ozempic-wegovy-weight-loss-drugs-safety-concerns-fact-check/536-e6b5bd2f-88b8-4100-a309-6416664fe1fd,2024-07-08T19:07:00Z,True. There are safety concerns with knockoff weight loss drugs.,en,,2024-07-08,true,"There are safety concerns with buying knockoff weight-loss drugs. Are knockoff Ozempic, other weight-loss drugs safe? True. There are safety concerns with knockoff weight loss drugs.",[],
weight loss pill,Kelly Clarkson promoted weight-loss drug on Tonight Show,Multiple sources,2024-06-29T00:00:00Z,,AFP Fact Check,factcheck.afp.com,Digitally altered video of Kelly Clarkson misleads about weight-loss drug,https://factcheck.afp.com/doc.afp.com.34WP462,2024-06-14T11:06:00Z,Altered video,en,2024-06-29,2024-06-14,other,Kelly Clarkson promoted weight-loss drug on Tonight Show Digitally altered video of Kelly Clarkson misleads about weight-loss drug Altered video,[],
weight loss pill,Detox Slim can help lose weight without any side effects.,Multiple Sources,2024-05-23T00:00:00Z,,AFP Fact Check,factcheck.afp.com,Posts promoting unregistered weight loss pills share altered ...,https://factcheck.afp.com/doc.afp.com.34VA23V,2024-06-21T09:12:00Z,False,en,2024-05-23,2024-06-21,false,Detox Slim can help lose weight without any side effects. Posts promoting unregistered weight loss pills share altered ... False,['supplement_scam'],supplement_scam
weight loss pill,Kobe Bryant died days before going to court over opioid-laced diet pills,Social media,2023-04-01T00:00:00Z,,USA Today,usatoday.com,Kobe Bryant's death unrelated to lawsuit over nickname | Fact check,https://www.usatoday.com/story/news/factcheck/2023/08/18/kobe-bryants-death-unrelated-to-lawsuit-over-nickname-fact-check/70620743007/,2023-08-18T21:47:19Z,False,en,2023-04-01,2023-08-18,false,Kobe Bryant died days before going to court over opioid-laced diet pills Kobe Bryant's death unrelated to lawsuit over nickname | Fact check False,['supplement_scam'],supplement_scam
weight loss pill,A video shows Australian TV presenter Tracy Grimshaw promoting keto weight loss pills.,Facebook user,2023-07-21T00:00:00Z,,AAP,aap.com.au,Don't fall for fake 'Tracy Grimshaw' weight-loss adverts,https://www.aap.com.au/factcheck/dont-fall-for-fake-tracy-grimshaw-weight-loss-adverts/,2025-02-07T03:45:00Z,False. The video is an AI-generated scam. Tracy Grimshaw has warned people not to be taken in by scam adverts using her image.,en,2023-07-21,2025-02-07,false,A video shows Australian TV presenter Tracy Grimshaw promoting keto weight loss pills. Don't fall for fake 'Tracy Grimshaw' weight-loss adverts False. The video is an AI-generated scam. Tracy Grimshaw has warned people not to be taken in by scam adverts using her image.,['supplement_scam'],supplement_scam
